,Dias
0,0.6598228812217712
1,0.08681643009185791
2,-0.13561952114105225
3,1.132596731185913
4,0.42884325981140137
5,1.875007152557373
6,0.13387012481689453
7,3.418398380279541
8,1.876485824584961
9,4.436816692352295
10,4.738915920257568
11,6.05344820022583
12,6.6056342124938965
13,6.40084171295166
14,7.336332321166992
15,7.088494300842285
16,7.262864589691162
17,7.992076396942139
18,7.682054042816162
19,8.758282661437988
20,7.136233806610107
21,9.61132526397705
22,6.656652450561523
23,9.19647216796875
24,8.315025329589844
25,9.891737937927246
26,11.495731353759766
27,9.726070404052734
28,12.821969985961914
29,11.69539737701416
30,13.943624496459961
31,14.155240058898926
32,15.876873970031738
33,18.169273376464844
34,17.87921905517578
35,20.746150970458984
36,20.326374053955078
37,22.70798110961914
38,23.923187255859375
39,25.07972526550293
40,28.079917907714844
41,27.118894577026367
42,30.64399528503418
43,29.313457489013672
44,31.573135375976562
45,31.753164291381836
46,33.29445266723633
47,36.00881576538086
48,35.262577056884766
49,38.584266662597656
50,37.80130386352539
51,40.27322769165039
52,40.63017272949219
53,41.0697135925293
54,43.86969757080078
55,43.75376892089844
56,47.425567626953125
57,47.14665985107422
58,49.70779800415039
59,51.572505950927734
60,53.36673355102539
61,58.16386032104492
62,59.13846969604492
63,65.30238342285156
64,67.55432891845703
65,73.42569732666016
66,77.61807250976562
67,82.04443359375
68,88.76329040527344
69,91.11612701416016
70,97.73727416992188
71,99.7030258178711
72,105.09784698486328
73,108.56024932861328
74,111.50638580322266
75,117.35910034179688
76,119.2667007446289
77,126.25713348388672
78,128.32618713378906
79,131.5749053955078
80,132.83856201171875
81,132.6758270263672
82,135.6702423095703
83,133.17385864257812
84,134.9693603515625
85,132.1390838623047
86,132.7968292236328
87,133.73123168945312
88,134.1345977783203
89,138.72488403320312
90,139.06507873535156
91,139.58505249023438
92,138.90097045898438
93,138.8731231689453
94,138.61717224121094
95,138.19351196289062
96,138.9329833984375
97,139.42601013183594
98,140.97813415527344
99,140.89764404296875
